Date,Adj Close,Close,High,Low,Open,Volume,Daily_Return,Daily_Return_Pct,Daily_Range,Daily_Range_Pct,MA_20,MA_50,MA_200,Rolling_Volatility_30,Rolling_Volatility_30_Annualized,Cumulative_Return,Running_Max,Drawdown,Year,Month,Month_Name,Day_of_Week
2010-01-04,6.400959491729736,7.643214225769043,7.660714149475098,7.585000038146973,7.622499942779541,493729600,,,0.075714111328125,0.9932976306526003,,,,,,,6.400959491729736,0.0,2010,1,January,Monday
2010-01-05,6.4120283126831055,7.656428813934326,7.699643135070801,7.6160712242126465,7.664286136627197,601904800,0.0017292440246921004,0.17292440246921004,0.0835719108581543,1.0904069781367998,,,,,,0.0017292440246921004,6.4120283126831055,0.0,2010,1,January,Tuesday
2010-01-06,6.310033321380615,7.534643173217773,7.68678617477417,7.526785850524902,7.656428813934326,552160000,-0.015906821730768406,-1.5906821730768406,0.16000032424926758,2.089751346712384,,,,,,-0.014205084482506125,6.4120283126831055,-0.015906821730768406,2010,1,January,Wednesday
2010-01-07,6.298370361328125,7.520713806152344,7.5714287757873535,7.466071128845215,7.5625,477131200,-0.0018483198833471048,-0.18483198833471048,0.10535764694213867,1.393158967829933,,,,,,-0.01602714882575962,6.4120283126831055,-0.01772574071922972,2010,1,January,Thursday
2010-01-08,6.340244293212891,7.570713996887207,7.5714287757873535,7.466429233551025,7.510714054107666,447610800,0.0066483756086925805,0.664837560869258,0.10499954223632812,1.3979968013680815,,,,,,-0.009485327722397074,6.4120283126831055,-0.011195212492780882,2010,1,January,Friday
2010-01-11,6.284313201904297,7.503929138183594,7.607142925262451,7.444643020629883,7.599999904632568,462229600,-0.008821598777899897,-0.8821598777899897,0.16249990463256836,2.1381566667325456,,,,,,-0.018223250744853092,6.4120283126831055,-0.019918051597836217,2010,1,January,Monday
2010-01-12,6.21282958984375,7.4185709953308105,7.491786003112793,7.372142791748047,7.471070766448975,594459600,-0.011374928295885267,-1.1374928295885267,0.1196432113647461,1.601419864767429,,,,,,-0.02939089087019775,6.4120283126831055,-0.031066413485002387,2010,1,January,Tuesday
2010-01-13,6.30046272277832,7.523213863372803,7.533214092254639,7.289286136627197,7.423929214477539,605892000,0.014105188572663518,1.4105188572663518,0.2439279556274414,3.2856988338702515,,,,,,-0.015700266355576975,6.4120283126831055,-0.01739942253282112,2010,1,January,Wednesday
2010-01-14,6.263974189758301,7.479642868041992,7.5164289474487305,7.465000152587891,7.503929138183594,432894000,-0.005791405270616279,-0.5791405270616279,0.051428794860839844,0.6853582158598146,,,,,,-0.021400745020871526,6.4120283126831055,-0.02309006069607511,2010,1,January,Thursday
2010-01-15,6.159291744232178,7.354642868041992,7.557143211364746,7.352499961853027,7.533214092254639,594067600,-0.016711825808171543,-1.6711825808171543,0.20464324951171875,2.716546310851899,,,,,,-0.03775492530608915,6.4120283126831055,-0.03941600943199364,2010,1,January,Friday
